audit_id,source_group,field_name,rows_checked,bad_values,audit_status
NODI-G2G-FORBID-001,COMSOL_EDGE_CANDIDATE,direct_prs_bin_use_authorized,16,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-002,COMSOL_EDGE_CANDIDATE,formula_use_authorized,16,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-003,COMSOL_EDGE_CANDIDATE,grain_level_ingestion_authorized,16,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-004,COMSOL_EDGE_CANDIDATE,accepted_row_expansion_authorized,16,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-005,COMSOL_EDGE_CANDIDATE,edge4_policy_approved,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-006,COMSOL_EDGE_CANDIDATE,edge4_row_accepted,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-007,COMSOL_EDGE_CANDIDATE,policy_approved,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-008,COMSOL_EDGE_CANDIDATE,decision_use_allowed,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-009,COMSOL_EDGE_CANDIDATE,qch_weighting_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-010,COMSOL_EDGE_CANDIDATE,qch_eta_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-011,COMSOL_EDGE_CANDIDATE,qch_chi_eta_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-012,COMSOL_EDGE_CANDIDATE,chi_selected_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-013,COMSOL_EDGE_CANDIDATE,route_score_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-014,COMSOL_EDGE_CANDIDATE,jrc_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-015,COMSOL_EDGE_CANDIDATE,yield_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-016,COMSOL_EDGE_CANDIDATE,winner_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-017,COMSOL_EDGE_CANDIDATE,detection_probability_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-018,COMSOL_EDGE_CANDIDATE,production_ingestion_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-019,COMSOL_EDGE_CANDIDATE,runtime_configuration_authorized,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-020,COMSOL_EDGE_CANDIDATE,can_enter_weighting,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-021,COMSOL_EDGE_CANDIDATE,can_enter_jrc,0,,PASS_FORBIDDEN_FALSE
NODI-G2G-FORBID-022,COMSOL_EDGE_CANDIDATE,is_chi_selected,0,,PASS_FORBIDDEN_FALSE
