synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,source_W_nominal_nm,candidate_envelope_W_top_nm,max_tested_W_top_nm,leading_peak_W_top_nm,leading_snr_W_top_nm,leading_annulus_fraction_W_top_nm,peak_upper_edge,snr_upper_edge,peak_adjacent_non_decreasing_fraction,snr_adjacent_non_decreasing_fraction,annulus_adjacent_non_decreasing_fraction,width_grid_json,dimension_policy_context,size_recommendation_context_after_sidewall,not_final_recommendation
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D1200-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,500,607,767,767,747,727,True,False,1.0,0.4,0.4,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D1200-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,500,607,767,767,747,727,True,False,1.0,0.5,0.4,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D1200-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,500,607,767,767,767,607,True,True,1.0,0.7,0.5,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D900-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,500,580,740,740,720,720,True,False,1.0,0.5,0.5,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D900-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,500,580,740,740,720,720,True,False,1.0,0.5,0.5,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W500_D900-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,500,580,740,740,720,580,True,False,1.0,0.5,0.5,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W600_D900-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,600,680,840,840,820,740,True,False,1.0,0.6,0.6,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W600_D900-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,600,680,840,840,820,740,True,False,1.0,0.5,0.6,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-404_W600_D900-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,600,680,840,840,820,820,True,False,1.0,0.5,0.6,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
sidewall_monotonic_width_policy_v1,POLICY-DIM-660_W500_D1500-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,500,633,793,793,773,753,True,False,1.0,0.6,0.4,"[593, 613, 633, 653, 673, 693, 713, 733, 753, 773, 793]",monotonic_peak_response_constraint_required,sidewall_response_pushes_wider_than_tested_envelope,True
