sweep_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,comparison_case_id,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,diameter_nm,annulus_window_id,selected_annulus_edge_norm_min,selected_annulus_edge_norm_max,canonical_annulus_window_id,is_canonical_annulus_window,candidate_execution_status,canonical_execution_status,selected_annulus_fraction,selected_annulus_fraction_delta_vs_canonical,selected_annulus_n_events,selected_annulus_n_events_delta_vs_canonical,mean_peak_height,mean_peak_height_delta_vs_canonical,mean_local_snr,mean_local_snr_delta_vs_canonical,synthetic_counting_context_rate_delta_vs_canonical,window_context_status
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P40-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P40-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,40,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.3125,-0.0625,5,-1.0,0.22519520597375298,0.011405145120284677,345.09183442777936,8.558365205270434,-0.0625,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P60-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P60-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,60,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.3125,0.125,5,2.0,1.53556527357985,0.12645251938975077,2926.553754001062,396.5713739971311,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P100-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P100-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,100,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.1875,-0.25,3,-4.0,15.279682073033394,-0.18019173527953036,30686.236045459103,2760.022616172886,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P150-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P150-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,150,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.3125,-0.25,5,-4.0,77.99601613398985,-0.14379812799388958,143825.69993939868,-11033.891590750602,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P220-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P220-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,220,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.4375,-0.1875,7,-3.0,321.82826115835314,-0.4836412228424365,561643.4054415122,37774.66129878012,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P230-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P230-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,230,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.375,0.0625,6,1.0,378.4509840046781,-0.2941907899967191,768766.6113693276,45067.49387196498,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P240-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P240-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,240,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.4375,-0.25,7,-4.0,442.2829606387024,0.22741228808104097,769350.9760632226,-79905.20284444629,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P250-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P250-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,250,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.25,-0.1875,4,-3.0,507.58793396390536,-1.319988810434154,1027020.365616077,58359.05770897947,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P260-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P260-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,260,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.1875,-0.3125,3,-5.0,581.6230610146699,0.12541502645035507,938809.4001053202,-126761.34179857699,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P270-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P270-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,270,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.25,-0.1875,4,-3.0,663.4675154769413,1.5675493583237312,1155915.1320756548,34030.671951332595,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P280-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P280-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,280,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.1875,0.0,3,0.0,745.9754322901586,-0.376289617759312,1444644.3553376552,24556.639685649425,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P290-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P290-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,290,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.25,-0.1875,4,-3.0,841.6632531938136,-0.9776036597537541,1608817.179052954,-168299.64629732538,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P300-A0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P300-A0p4_0p7,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,300,0p4_0p7,0.4,0.7,0p5_0p8,False,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.1875,-0.0625,3,-1.0,946.2696332217198,2.8639974852657133,1897807.0964189635,222296.0901659117,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P40-A0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P40-A0p5_0p8,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,40,0p5_0p8,0.5,0.8,0p5_0p8,True,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.375,0.0,6,0.0,0.2137900608534683,0.0,336.5334692225089,0.0,0.0,executed_followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-CMP-404_W500_D1200-P60-A0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FUW-CMP-404_W500_D1200-P60-A0p5_0p8,404/W500/D1200,404/W607/D1200,followup_window_join_key_only_not_selection,60,0p5_0p8,0.5,0.8,0p5_0p8,True,executed_annulus_window_nodi_shard,executed_annulus_window_nodi_shard,0.1875,0.0,3,0.0,1.4091127541900992,0.0,2529.9823800039308,0.0,0.0,executed_followup_window_context
