sweep_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,annulus_window_id,selected_annulus_edge_norm_min,selected_annulus_edge_norm_max,is_canonical_annulus_window,diameter_rows,diameters_with_peak_height_above_canonical,diameters_with_local_snr_above_canonical,diameters_with_annulus_fraction_above_canonical,diameters_with_annulus_fraction_below_canonical,mean_selected_annulus_fraction,mean_peak_height,mean_local_snr,mean_peak_height_delta_vs_canonical,mean_local_snr_delta_vs_canonical,mean_annulus_fraction_delta_vs_canonical,followup_window_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W500_D1200-0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,followup_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,6,9,2,10,0.28365384615384615,424.9373456653476,796196.777157998,0.08819445065931387,3019.206500530332,-0.1346153846153846,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W500_D1200-0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,followup_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0,0.4182692307692308,424.84915121468833,793177.5706574676,0.0,0.0,0.0,canonical_equivalent_context_in_followup_sweep
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W500_D1200-0p6_0p9,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,followup_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,7,6,8,3,0.4567307692307692,424.9229035814286,807241.2217170602,0.07375236674026496,14063.65105959255,0.038461538461538464,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W500_D900-0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,followup_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0,0.41346153846153844,415.05948164293454,805180.9107609654,0.0,0.0,0.0,canonical_equivalent_context_in_followup_sweep
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W500_D900-0p6_0p9,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,followup_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,8,7,5,3,0.4567307692307692,414.9098240441859,763712.8682923218,-0.14965759874870976,-41468.04246864362,0.04326923076923077,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W600_D900-0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,followup_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,7,6,7,3,0.40384615384615385,436.8595136336961,799785.2504146893,0.24594648081028317,-15252.91031733378,0.04807692307692308,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W600_D900-0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,followup_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0,0.3557692307692308,436.61356715288576,815038.1607320232,0.0,0.0,0.0,canonical_equivalent_context_in_followup_sweep
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-404_W600_D900-0p6_0p9,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,followup_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,9,7,5,5,0.36538461538461536,436.87012416999704,823394.6995323806,0.2565570171112587,8356.538800357495,0.009615384615384616,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W500_D1500-0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,followup_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,9,8,4,9,0.30288461538461536,1215.0545537790074,1802987.5601961543,7.285445480504659e-05,-22973.538064969005,-0.09615384615384616,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W500_D1500-0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,followup_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0,0.39903846153846156,1215.0544809245525,1825961.0982611233,0.0,0.0,0.0,canonical_equivalent_context_in_followup_sweep
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W500_D1500-0p6_0p9,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,followup_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,10,8,8,5,0.4567307692307692,1215.0545856716178,1779417.8939475515,0.00010474706528604913,-46543.20431357211,0.057692307692307696,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W800_D1200-0p5_0p8,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W800/D1200,660/W907/D1200,followup_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0,0.4182692307692308,1370.4881585600779,2049862.6062597951,0.0,0.0,0.0,canonical_equivalent_context_in_followup_sweep
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W800_D1200-0p6_0p9,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W800/D1200,660/W907/D1200,followup_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,8,5,6,7,0.375,1370.1023989056898,1956096.628568064,-0.38575965438796234,-93765.97769173128,-0.04326923076923077,window_changes_peak_snr_or_annulus_context
sidewall_followup_window_higher_event_sweep_v1,FUW-SUM-660_W800_D900-0p4_0p7,"execute higher-event sparse NODI follow-up on route-specific sidewall candidate-envelope annulus windows for the dimension, annulus, and interference-response mainline","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,followup_window_higher_event_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W800/D900,660/W880/D900,followup_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,4,6,2,8,0.3173076923076923,1351.9295153138469,1945535.6415671913,0.013344200165813648,-74560.98956447022,-0.08653846153846154,window_changes_peak_snr_or_annulus_context
