sweep_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,annulus_window_id,selected_annulus_edge_norm_min,selected_annulus_edge_norm_max,is_canonical_annulus_window,diameter_rows,diameters_with_peak_height_above_canonical,diameters_with_annulus_fraction_above_canonical,diameters_with_annulus_fraction_below_canonical,mean_selected_annulus_fraction,mean_peak_height,mean_peak_height_delta_vs_canonical,mean_annulus_fraction_delta_vs_canonical,annulus_window_followup_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D1200-0p4_0p7,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,route_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,8,6,4,0.34615384615384615,424.6009961044799,-0.4153104309188584,0.0641025641025641,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D1200-0p5_0p8,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,route_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0.28205128205128205,425.01630653539877,0.0,0.0,canonical_equivalent_context_in_sparse_sweep
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D1200-0p6_0p9,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,route_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,7,10,3,0.48717948717948717,424.9660232033735,-0.050283332025341666,0.20512820512820512,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D900-0p4_0p7,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,route_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,6,5,7,0.3076923076923077,414.4716431964014,-0.9511404979610494,-0.06410256410256411,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D900-0p5_0p8,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,route_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0.37179487179487175,415.42278369436247,0.0,0.0,canonical_equivalent_context_in_sparse_sweep
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W500_D900-0p6_0p9,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,404/W580/D900,route_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,6,9,2,0.48717948717948717,415.0802969301958,-0.3424867641666657,0.11538461538461539,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W600_D900-0p4_0p7,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,route_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,5,1,6,0.3589743589743589,435.96403859887573,0.03012327048821582,-0.08974358974358974,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W600_D900-0p5_0p8,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,route_window_summary_not_selection,0p5_0p8,0.5,0.8,True,13,0,0,0,0.4487179487179487,435.93391532838757,0.0,0.0,canonical_equivalent_context_in_sparse_sweep
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-404_W600_D900-0p6_0p9,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,404/W680/D900,route_window_summary_not_selection,0p6_0p9,0.6,0.9,False,13,7,6,5,0.47435897435897434,436.4821929749248,0.5482776465373262,0.025641025641025637,window_changes_response_or_annulus_context
sidewall_candidate_envelope_annulus_window_sweep_v1,ANN-SUM-660_W500_D1500-0p4_0p7,run sparse annulus-window context on sidewall-aware candidate envelope dimensions for selected-annulus and response follow-up,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,annulus_window_sweep_context_not_probability_not_selection,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,660/W633/D1500,route_window_summary_not_selection,0p4_0p7,0.4,0.7,False,13,7,3,6,0.34615384615384615,1215.054545972677,9.56589396410899e-05,-0.05128205128205129,window_changes_response_or_annulus_context
