synthesis_version,row_id,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,claim_boundary,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,candidate_route_id_nodi,route_id_role,diameter_nm,source_W_nominal_nm,candidate_W_top_nm,candidate_top_width_delta_nm,dimension_context_band_596,original_85_vs_90_peak_height_delta_596,candidate_minus_original_mean_peak_height_delta_597,candidate_minus_original_selected_annulus_fraction_delta_597,candidate_minus_original_mean_local_snr_delta_597,candidate_recovery_context_597,candidate_dimension_context,recommended_next_simulation_action,sparse_event_context_only,n_events_per_candidate_context
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P40,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,40,500,606,106,dimension_update_required_context,0.18621172258629573,-0.03938663640781992,0.5,-38.693964734118396,annulus_context_improved_response_not_improved,candidate_width_improves_annulus_with_response_tradeoff,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P60,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,60,500,606,106,dimension_update_required_context,-0.46432426960323814,-0.11628467754207517,0.0,-1288.568809233136,candidate_context_not_improved_in_sparse_events,candidate_width_needs_refinement_context,refine_candidate_width_or_annulus_window,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P100,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,100,500,606,106,dimension_update_required_context,-0.668261926503039,0.26064080281012636,0.5,-7196.901336915755,annulus_and_response_improved_context,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P150,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,150,500,606,106,dimension_update_required_context,2.145604426806017,1.5413581888453791,-0.5,-31312.816308321533,response_context_improved_annulus_not_improved,candidate_width_improves_response_with_annulus_tradeoff,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P220,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,220,500,606,106,dimension_update_required_context,3.5176584920384926,12.768618585797299,0.0,12063.41560764442,response_context_improved_annulus_not_improved,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P230,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,230,500,606,106,dimension_update_required_context,1.5922665826815319,20.465427383583915,0.0,147346.5131549898,response_context_improved_annulus_not_improved,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P240,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,240,500,606,106,dimension_update_required_context,-1.6254154691943086,28.039685534957357,0.0,24817.261165310163,response_context_improved_annulus_not_improved,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P250,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,250,500,606,106,dimension_update_required_context,0.9058216872183493,34.11148386554106,0.5,186779.95321517834,annulus_and_response_improved_context,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P260,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W606/D1200,candidate_dimension_context_not_selection,260,500,606,106,dimension_update_required_context,-9.070290203282866,50.81894051824122,0.5,598593.9256835273,annulus_and_response_improved_context,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
sidewall_candidate_dimension_recommendation_synthesis_v1,REC-404_W500_D1200-P270,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,candidate_dimension_recommendation_context_not_selection_not_probability,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,candidate_dimension_context_not_selection,270,500,607,107,geometry_respecification_context,8.580634596907203,50.305729716569886,0.0,77496.70629443892,response_context_improved_annulus_not_improved,candidate_width_improves_response_without_annulus_loss,carry_candidate_width_into_wider_event_sweep,True,2
